주차장명,주소,LAT,LON
강일동공영주차장(구),강동구 강일동 292-2,37.5665,127.1722
온조옆 공영주차장(구),강동구 고덕동 302,37.5576,127.157
명일동(구),강동구 명일동 312-250,37.5511,127.1428
주양쇼핑옆 노상주차장(구),강동구 명일동 47-21,37.5529,127.153
명일동(시),강동구 명일동 47-9,37.5535,127.1558
주양쇼핑앞(구),강동구 명일동 51-1,37.5517,127.1544
천호역(시),강동구 성내동 18-4,37.538,127.1231
안말(구),강동구 성내동 512,37.5313,127.1299
강동구청 옆 노상주차장(구),강동구 성내동 540,37.5302,127.1237
암사1동(구),강동구 암사동 59-2,37.5529,127.1376
천호3동(구),강동구 천호동 167-195,37.5391,127.1332
천호3동 제2주차장(구),강동구 천호동 174-1,37.5408,127.1339
천호1동(구),강동구 천호동 221-3,37.5448,127.1364
천호유수지 주차장(구),강동구 천호동 329,37.5447,127.1218
해공공영주차장(구),강동구 천호동 404-1,37.541,127.1288
천호제2동제2주차장(구),강동구 천호동 457-11 ,37.5407,127.1231
