name,LAT,LON,LATLON
辑匡矫没,37.56437,126.9756,37.56437:126.9756
碍巢备没,37.51729,127.0474,37.51729:127.0474
碍合备没,37.63978,127.0255,37.63978:127.0255
碍辑备没,37.556009,126.849274,37.556009:126.849274
碍悼备没,37.52996,127.1235,37.52996:127.1235
包厩备没,37.47813,126.9515,37.47813:126.9515
堡柳备没,37.53796,127.0821,37.53796:127.0821
备肺备没,37.49546,126.8875,37.49546:126.8875
陛玫备没,37.45691,126.8954,37.45691:126.8954
畴盔备没,37.65411,127.0563,37.65411:127.0563
档豪备没,37.66877,127.0471,37.66877:127.0471
悼措巩备没,37.57442,127.0397,37.57442:127.0397
悼累备没,37.5124,126.9395,37.5124:126.9395
付器备没,37.5662,126.9016,37.5662:126.9016
辑措巩备没,37.57917,126.9368,37.57917:126.9368
辑檬备没,37.48357,127.0327,37.48357:127.0327
己悼备没,37.56345,127.037,37.56345:127.037
己合备没,37.58937,127.0167,37.58937:127.0167
价颇备没,37.51446,127.1059,37.51446:127.1059
剧玫备没,37.51687,126.8664,37.51687:126.8664
康殿器备没,37.52634,126.8963,37.52634:126.8963
侩魂备没,37.53259,126.99,37.53259:126.99
篮乞备没,37.6027,126.9291,37.6027:126.9291
辆肺备没,37.57317,126.9795,37.57317:126.9795
吝备没,37.56021,127.0139,37.56021:127.0139
吝尔备没,37.60656,127.0926,37.60656:127.0926
