역명,LON,LAT
시청역,126.975946,37.563834
을지로 입구역,126.98262,37.566555
을지로 3가역,126.992598,37.566878
을지로 4가역,126.99764,37.567185
동대문 운동장역,127.0092,37.56564
신당 역,127.019377,37.566164
상왕십리,127.0289,37.5645
왕십리,127.037916,37.561215
한양대,127.043624,37.556111
뚝 섬,127.047336,37.547725
성 수,127.056005,37.545139
건대입구역,127.069201,37.540953
구의,127.086132,37.537585
강 변,127.09465,37.535679
잠실나루,127.10392,37.52118
잠 실,127.100143,37.513896
신 천,127.085617,37.512194
종합운동장,127.073836,37.511649
삼 성,127.06315,37.509419
선 릉,127.04901,37.505028
역 삼,127.036951,37.501385
강 남,127.027574,37.498542
교대(2),127.0138,37.49304
서 초,127.007661,37.492345
방 배,126.9976,37.48151
사당(2),126.9816,37.47656
낙성대,126.9634,37.47712
서울대,126.9527,37.48121
봉 천,126.9416,37.48248
신 림,126.9297,37.48427
신대방,126.9133,37.48752
구로공단,126.901402,37.485671
대 림,126.894987,37.493877
신도림,126.891618,37.509522
문 래,126.894751,37.518491
영등포구청,126.896639,37.526252
당 산,126.902604,37.53539
합 정,126.914513,37.550464
홍 대,126.92374,37.557438
신 촌,126.937323,37.555686
이 대,126.945906,37.557302
아 현,126.956098,37.557915
충정로,126.964402,37.560194
용 답,127.050726,37.562711
신 답,127.046971,37.570484
신설동(2),127.025149,37.575195
도림천,126.882691,37.514951
양천구청,126.86559,37.512875
신정네거리,126.852779,37.520789
용두역,127.038753,37.574464
