역명,LAT,LON
대화역,37.676603,126.747487
주엽역,37.670047,126.761305
정발산역,37.65955,126.773386
마두역,37.652041,126.777635
백석역,37.643036,126.787999
대곡역,37.631635,126.811044
화정역,37.634626,126.832845
원당역,37.653349,126.842995
삼송역,37.653077,126.895545
지축역,37.6481,126.914041
구파발역,37.636461,126.918869
연신내역,37.619517,126.920907
불광역,37.609982,126.930242
녹번역,37.600921,126.935735
홍제역,37.588816,126.944103
무악재역,37.582252,126.950369
독립문역,37.5746,126.957707
경복궁역,37.575705,126.973844
안국역,37.576675,126.985753
종로3가역,37.57062,126.992061
을지로3가역,37.566385,126.992619
충무로역,37.5613,126.99425
동대입구역,37.559054,127.005923
약수역,37.554836,127.010515
금호역,37.547929,127.015922
옥수역,37.541362,127.017467
압구정역,37.527,127.028453
신사역,37.516432,127.020299
잠원역,37.512705,127.01103
고속터미널역,37.505334,127.0047
교대역,37.493673,127.013648
남부터미널역,37.485075,127.016308
양재역,37.484547,127.033904
매봉역,37.486761,127.046435
도곡역,37.491051,127.05564
대치역,37.494712,127.063901
학여울역,37.496414,127.069588
대청역,37.493588,127.079501
일원역,37.483679,127.084415
수서역,37.487357,127.101581
가락시장역,37.492396,127.118275
경찰병원역,37.495886,127.124434
오금역,37.501896,127.128103
